question1,question2
"sadness to curiosity: Why can't I cry anymore, even when I'm sad?","Why can't I cry anymore, even when I'm sad?"
"curiosity to sadness: What are some examples of ethical and legal dilemmas in counseling (school, college student development, clinical mental health)?",I'm a gifted student with mental health issues. I get depressed when I don't work hard enough. How do I get into a top school for people like me?
admiration to curiosity: What are some good TV Series that I should watch? Documentaries not preferred.,What are the good tv series to watch?
curiosity to disappointment: Why does high school have to be so routine/boring?,I'm realizing not only are my high school friends boring but bad influences. Would it be bad to cut them out of my life?
anger to curiosity: My husband likes to masturbate more then we have sex and I feel like he's more into his hands than our sex life. I have a high sex drive and he does not but he masturbates everyday. It's infuriating. How do I deal with this? Am I being unreasonable?,My husband likes to masturbate more then we have sex and I feel like he's more into his hands than our sex life. I have a high sex drive and he does not but he masturbates everyday. It's infuriating. How do I deal with this? Am I being unreasonable?
curiosity to admiration: Is akbar a great emperor?,Is akbar a great emperor?
curiosity to love: What should I say when I am doing a snap streak on Snapchat?,What should I say when I am doing a snap streak on Snapchat?
anger to curiosity: What is the worst incident you have heard from Indian army?,What is the worst incident you have heard from Indian army?
sadness to curiosity: Is a heart attack a painful death?,Is a heart attack a painful death?
curiosity to optimism: What do I do with my useless life?,What do I do with my useless life?
joy to curiosity: How do I enjoy my life?,How do I enjoy life like a child?
curiosity to confusion: Why does ryanair's app can't be downloaded in italy?,Why does ryanair's app can't be downloaded in italy?
curiosity to sadness: I want to know what my ex feels about me after 6 years of break-up?,I had my break up a year back. I have been trying to get over my ex but its difficult since he is my classmate. I feel lonely and want him back. Help?
confusion to curiosity: Is something wrong between the BBC and India?,Is the BBC news channel racist towards India?
love to curiosity: How do I know whether someone really loves me?,How do you know when someone really loves you?
curiosity to love: Why was Cloverfield such a love or hate film?,Why was Cloverfield such a love or hate film?
curiosity to joy: What are the questions that remain unanswered?,What are the questions that remain unanswered?
amusement to curiosity: What are some of the funniest boys vs. girls memes?,Is my 10 year old brother gay? I'm a 19 year old bodybuilder. Why does my brother always want to feel my biceps or rub my abs when I'm shirtless?
curiosity to fear: Why are people scared of things?,Why are some people scared of programming?
curiosity to admiration: Is the WD Passport hard-disk compatible with Linux OS?,Is the WD Passport hard-disk compatible with Linux OS?
curiosity to confusion: How should I go about SEO of my Hindi website?,How should I go about SEO of my Hindi website?
curiosity to admiration: What is the significance of The Catcher in the Rye's cover image?,What is the significance of The Catcher in the Rye's cover image?
curiosity to confusion: Why do black holes exist?,Why do black holes exist?
confusion to curiosity: Can people see that I have looked at their pictures on instagram if I am not following them?,How do l see who viewed my videos on Instagram?
admiration to curiosity: What are the greatest horror movies of all time?,What have been the best horror movies up until now?
love to curiosity: Short Stories About Love: Are there people playing pickup basketball in Chennai? How can I find them?,Where can I find pickup basketball games in the Napa Valley?
curiosity to fear: What are the best ways to overcome stage fright?,What is the best way to overcome stage fear?
curiosity to amusement: What would happen if all probable email addresses are taken due to increase in users?,What would happen if all probable email addresses are taken due to increase in users?
